name,createdAt,tick,leftPoint,rightPoint,angleOfVector,lengthOfVector,differenceX,differenceY,meanX,meanY
eye,1580312729166,476,"{""x"":145.9851262836499,""y"":107.6907686295778}","{""x"":190.62015842896187,""y"":107.23367087706612}",-0.5867332295629732,44.63737260377659,44.63503214531198,-0.45709775251168594,168.30264235630588,107.46221975332196
eye,1580312729316,477,"{""x"":146.11738179097898,""y"":107.96409750692214}","{""x"":190.65380419750952,""y"":107.58112371427723}",-0.4926808209932522,44.53806899382558,44.536422406530534,-0.3829737926449184,168.38559299424423,107.77261061059968
eye,1580312729463,478,"{""x"":145.95054971888794,""y"":108.09210426941823}","{""x"":191.0169572858499,""y"":107.94989000088381}",-0.18080541064313915,45.0666319563566,45.06640756696197,-0.142214268534417,168.48375350236893,108.02099713515102
eye,1580312729586,479,"{""x"":145.95054971888794,""y"":108.09210426941823}","{""x"":191.0169572858499,""y"":107.94989000088381}",-0.18080541064313915,45.0666319563566,45.06640756696197,-0.142214268534417,168.48375350236893,108.02099713515102
eye,1580312729626,480,"{""x"":145.58730690574788,""y"":109.09427372850365}","{""x"":190.3982145821659,""y"":109.65913757301578}",0.7222036311433684,44.814467730268724,44.810907676418026,0.5648638445121321,167.9927607439569,109.37670565075972
eye,1580312729742,481,"{""x"":145.3685807152389,""y"":108.81938946777706}","{""x"":190.13243504447826,""y"":109.43601951825511}",0.789209631087944,44.76810122205893,44.763854329239365,0.6166300504780509,167.75050787985856,109.12770449301608
eye,1580312729784,482,"{""x"":145.2990874929315,""y"":109.04923916146026}","{""x"":190.10160271562526,""y"":109.75039533054792}",0.8966016706777914,44.8080014088238,44.802515222693756,0.7011561690876533,167.70034510427837,109.39981724600409
eye,1580312729947,483,"{""x"":145.18279238341472,""y"":109.05726163960352}","{""x"":189.95313298454624,""y"":109.90557688704584}",1.085519276032134,44.77837688327223,44.77034060113152,0.848315247442315,167.56796268398048,109.48141926332468
eye,1580312730012,484,"{""x"":145.16077128468353,""y"":108.9027992440968}","{""x"":189.96366894492763,""y"":109.90761438816872}",1.284783355301611,44.81416396886215,44.8028976602441,1.0048151440719266,167.5622201148056,109.40520681613276
eye,1580312730217,485,"{""x"":144.89765376471624,""y"":109.05359696068464}","{""x"":189.54558413814013,""y"":110.61661756498523}",2.0049737112040047,44.675280861339594,44.64793037342389,1.5630206043005899,167.22161895142818,109.83510726283494
